,Date,Time,Location,Sub-location,Lat,Long
825,2021-05-05,1815h - 1850h,Killiney Kopitiam (11 Upper East Coast Road),,1.31292468990775,103.925681544385
826,2021-05-05,1035h - 1105h,Ikea Alexandra (317 Alexandra Road),,1.28797431886603,103.805808771913
827,2021-05-05,1810h - 1845h,Junction 8 (9 Bishan Place) ,Mcdonald’S,1.35042215656701,103.848826189269
828,2021-05-05,1000h - 2030h,Toast & Curry (43 Siloso Beach Walk),,1.25206377583992,103.817560514971
829,2021-05-05,1820h - 1850h,Snip Avenue (419 Tampines Street 41),,1.35783252178817,103.946726918914
830,2021-05-04,1720h - 1755h,Plq Mall (10 Paya Lebar Road),,1.31885611019401,103.89406715568
831,2021-05-04,1600h - 0400h,Kopitiam Square (10 Sengkang Square),,1.39152651487694,103.89365715873
832,2021-05-04,2010h - 2040h,Changi Airport Terminal 1 (80 Airport Boulevard),Food Gallery,1.36129123176598,103.99060554697
833,2021-05-04,1820h - 1855h,Paya Lebar Square (60 Paya Lebar Road),,1.31881486980278,103.892580778242
834,2021-05-04,0830h - 2220h,White Sands (1 Pasir Ris Central Street 3) ,Unity Pharmacy,1.37228761596577,103.949733905672
835,2021-05-04,1755h - 1825h,Bedok Interchange Hawker Centre (208B New Upper Changi Road),,1.32478236985627,103.930570304559
836,2021-05-03,0830h - 2220h,White Sands (1 Pasir Ris Central Street 3) ,Unity Pharmacy,1.37228761596577,103.949733905672
837,2021-05-03,2025h - 2125h,Changi Airport Terminal 3 (65 Airport Boulevard),Kopitiam,1.35437074082484,103.985169645053
838,2021-05-03,1600h - 0400h,Kopitiam Square (10 Sengkang Square),,1.39152651487694,103.89365715873
839,2021-05-03,1255h - 1400h,The Clementi Mall (3155 Commonwealth Avenue West),Boleh Boleh!,1.31555354277949,103.764596439304
840,2021-05-03,1200h - 1230h,Changi Airport Terminal 3 (65 Airport Boulevard),Kopitiam,1.35437074082484,103.985169645053
841,2021-05-03,1340h - 1420h,Changi Airport Terminal 1 (80 Airport Boulevard),Orchis Food Court,1.36129123176598,103.99060554697
842,2021-05-03,1705h - 1825h,Changi Airport Terminal 3 (65 Airport Boulevard),Kopitiam,1.35437074082484,103.985169645053
843,2021-05-03,1505h - 1600h,Tampines Mart (9 Tampines Street 32),Giant,1.35436493607477,103.960042189097
844,2021-05-02,1230h - 1300h,Changi Airport Terminal 3 (65 Airport Boulevard),Kopitiam,1.35437074082484,103.985169645053
845,2021-05-02,1605h - 1645h,White Sands (1 Pasir Ris Central Street 3) ,Ntuc Fairprice,1.37228761596577,103.949733905672
846,2021-05-02,0830h - 2220h ,White Sands (1 Pasir Ris Central Street 3) ,Unity Pharmacy,1.37228761596577,103.949733905672
847,2021-05-02,1150h - 1350h,Tampines 1 (10 Tampines Central 1),The Sushi Bar,1.35420430432819,103.945051968029
848,2021-05-02,1745h - 1830h,Changi Airport Terminal 3 (65 Airport Boulevard),Kopitiam,1.35437074082484,103.985169645053
849,2021-05-01,1430h - 2220h,White Sands (1 Pasir Ris Central Street 3) ,Unity Pharmacy,1.37228761596577,103.949733905672
850,2021-05-01,1005h - 1035h,Chai Chee United Temple (6 Chai Chee Lane),,1.32849025155961,103.919116078116
851,2021-05-01,1415h - 1605h,Jewel Changi Airport (78 Airport Boulevard),Maison De Pb,1.36015720495893,103.990090538078
852,2021-05-01,1635h - 1805h,Jewel Changi Airport (78 Airport Boulevard),Five Spice,1.36015720495893,103.990090538078
853,2021-05-01,2000h - 2100h,Waterway Point (83 Punggol Central),Ichiban Boshi,1.40638890775119,103.902150850842
854,2021-05-01,1220h - 1345h,Tampines 1 (10 Tampines Central),Isteaks,1.35420430432819,103.945051968029
855,2021-05-01,1940h - 2040h,Eastpoint Mall (3 Simei Street 6),Sanook Kitchen,1.34270592355576,103.953024618234
856,2021-05-01,1600h - 0400h,Kopitiam Square (10 Sengkang Square),,1.39152651487694,103.89365715873
857,2021-04-30,1600h - 0400h,Kopitiam Square (10 Sengkang Square),,1.39152651487694,103.89365715873
858,2021-04-30,0830h - 2220h ,White Sands (1 Pasir Ris Central Street 3) ,Unity Pharmacy,1.37228761596577,103.949733905672
859,2021-04-30,1055h - 1125h,Changi Airport Terminal 3 (65 Airport Boulevard),Kopitiam,1.35437074082484,103.985169645053
860,2021-04-29,1510h - 1540h,Changi Airport Terminal 3 (65 Airport Boulevard),Kopitiam,1.35437074082484,103.985169645053
861,2021-02-01,1710h - 1815h ,Sun Plaza (30 Sembawang Drive),Pizza Hut,1.44820036592783,103.819530140823
862,2021-02-01,1600h - 1700h,Jurong Point (1 Jurong West Central 2),,1.3394520043632,103.706685012926
863,2021-01-31,1830h - 1900h,White Sands (1 Pasir Ris Central Street 3),Valudollar,1.37228761596577,103.949733905672
864,2021-01-31,1820h - 2035h,White Sands (1 Pasir Ris Central Street 3),,1.37228761596577,103.949733905672
865,2021-01-30,2200h - 0000h,Golden Village Yishun (51 Yishun Central 1),Hall 1,1.42991718038493,103.836421473445
866,2021-01-29,1900h - 1930h,Northpoint City (930 Yishun Avenue 2),,1.42924414326245,103.836107231373
867,2021-01-28,1035h - 1225h,Changi Airport Terminal 1 (80 Airport Boulevard),Orchis Food Court,1.36129123176598,103.99060554697
868,2021-01-28,1730h - 1930h,National Service Resort & Country Club Changi (10 Changi Coast Walk),,1.32019924927331,103.969615863691
869,2021-01-27,0900h - 0930h,Changi Airport Terminal 1 (80 Airport Boulevard),Orchis Food Court,1.36129123176598,103.99060554697
870,2021-01-27,0800h - 1800h,Broadway (848 Yishun Street 81),,1.41607676991811,103.835575802126
871,2021-01-27,1810h - 1900h,Northpoint City (930 Yishun Avenue 2),,1.42924414326245,103.836107231373
872,2021-01-26,0800h - 1800h,Broadway (848 Yishun Street 81),,1.41607676991811,103.835575802126
873,2021-01-25,0800h - 1800h,Broadway (848 Yishun Street 81),,1.41607676991811,103.835575802126
874,2021-01-25,1255h - 1400h,China Square Food Centre (51 Telok Ayer Street),,1.28286636225753,103.849289233227
875,2021-01-25,1625h - 1720h,Changi Airport Terminal 3 (65 Airport Boulevard),Kopitiam,1.35437074082484,103.985169645053
876,2021-01-24,0800h - 1800h,Broadway (848 Yishun Street 81),,1.41607676991811,103.835575802126
877,2021-01-24,1220h - 1305h,Changi Airport Terminal 1 (80 Airport Boulevard),Orchis Food Court,1.36129123176598,103.99060554697
878,2021-01-23,1300h - 1605h,Northpoint City (930 Yishun Avenue 2),,1.42924414326245,103.836107231373
879,2021-01-23,0740h - 0840h,Changi Airport Terminal 1 (80 Airport Boulevard),Orchis Food Court,1.36129123176598,103.99060554697
880,2021-01-23,1800h - 1915h,Sun Plaza (30 Sembawang Drive),,1.44820036592783,103.819530140823
881,2021-01-23,1220h - 1305h,Changi Airport Terminal 1 (80 Airport Boulevard),Orchis Food Court,1.36129123176598,103.99060554697
882,2021-01-22,1300h - 1400h,Amoy Street Food Centre (7 Maxwell Road),,1.27935389427121,103.846195973221
883,2021-01-22,1900h - 2100h,Golden Village Yishun (51 Yishun Central 1),Hall 6,1.42991718038493,103.836421473445
884,2021-01-22,1735h - 1900h,Northpoint City (930 Yishun Avenue 2),,1.42924414326245,103.836107231373
885,2021-01-21,1915h - 2230h,Shrimp Prawn Seafood (53 Boat Quay),,1.28709723324476,103.849263910237
886,2021-01-21,0900h - 1100h,Marsiling Market (20 Marsiling Lane),,1.44383165244262,103.777210383669
887,2021-01-18,1830h - 1930h,S111 Eating House (26A Kallang Place),,1.31592297235373,103.86703844866
888,2021-01-18,1300h - 1400h,Upper Boon Keng Market & Food Centre (17 Upper Boon Keng Road),,1.31502841514731,103.87162041674
889,2021-01-18,1210h - 1310h,Amoy Street Food Centre (7 Maxwell Road),,1.27935389427121,103.846195973221
890,2021-01-17,1635h - 2200h,The Working Capitol (1 Keong Saik Road),Puteca Abate,1.27891832141462,103.841421971652
891,2021-01-17,1120h - 1335h ,National Museum Of Singapore (93 Stamford Road),,1.29678050415467,103.848412787752
892,2021-01-17,0845h - 0930h,Hougang 105 Hainanese Village Centre (105 Hougang Avenue 1),,1.35408273910145,103.890130407955
893,2021-01-17,2135h - 2215h,Li Li Cheng Supermarket (273C Punggol Place),,1.40230301367166,103.901262391698
894,2021-01-17,1550h - 1655h,Sun Beauty House (3 New Bugis Street),,1.30048327348075,103.854903071386
895,2021-01-17,1410h - 1635h,Angel & Devil (22 Keong Saik Road),,1.28004625291042,103.841668648925
896,2021-01-17,1335h - 1515h,Marina Square (6 Raffles Boulevard),Zara,1.29185533273026,103.85857808906
897,2021-01-17,0940h - 1120h,Canopy (1382 Ang Mo Kio Avenue 1),,1.36254435617194,103.847493235976
898,2021-01-17,1845h - 1930h,Nex (23 Serangoon Central),Food Junction,1.35064579494756,103.872590477492
899,2021-01-17,1940h - 2025h,Gain City Megastore @ Sungei Kadut (71 Sungei Kadut Drive),Happy Cafe,1.41286386490552,103.746015735265
900,2021-01-16,2030h - 2230h,Good Cheer Pub (8 Maju Avenue),,1.36481578836981,103.865745953105
901,2021-01-16,0900h - 1130h,Jforte Sportainment Centre (50 Hougang Avenue 1),Anytime Fitness Kovan,1.36030539709088,103.888082942788
902,2021-01-16,2140h - 2220h ,Ananda Bhavan Vegetarian (95 Syed Alwi Road),,1.30952767487009,103.855440956298
903,2021-01-16,1840h - 1940h,Al Falah Barakah Restaurant (363 Joo Chiat Road),,1.30844145817063,103.903401167787
904,2021-01-16,1640h - 1840h,Church Of Singapore (145 Marine Parade Road),,1.30450202170227,103.906387801033
905,2021-01-16,1850h - 2115h,Riverside Point (30 Merchant Road),Brewerkz,1.2892925052942,103.844167619098
906,2021-01-16,1330h - 1610h,Sim Lim Square (1 Rochor Canal Road),Broadway Food Centre,1.30290658774258,103.853031869482
907,2021-01-15,1245h - 1345h,Golden Mile Complex (5001 Beach Road),,1.3027512163519,103.865163649543
908,2021-01-15,2015h - 2230h,Frienzie Bar & Bistro (10 Tebing Lane),,1.39304270451204,103.917401357783
909,2021-01-15,1900h - 2130h ,Dong Bei Cuisine (83 Geylang Road),,1.31081213463953,103.872966628179
910,2021-01-14,2015h - 2230h,Frienzie Bar & Bistro (10 Tebing Lane),,1.39304270451204,103.917401357783
911,2021-01-14,1900h - 1945h,S111 Eating House (26A Kallang Place),,1.31592297235373,103.86703844866
912,2021-01-13,1930h - 2130h,Tampines 1 (10 Tampines Central 1),A-One Claypot House,1.35420430432819,103.945051968029
913,2021-01-13,1505h - 1520h,Downtown East (1 Pasir Ris Close),Market Square @ Downtown East,1.37595122154029,103.955598940037
914,2021-01-13,1245h - 1345h,Eastpoint Mall (3 Simei Street 6),Smiling Happi Feet Reflexology,1.34270592355576,103.953024618234
